group,command,get_log,use_template,template_file,no_template_filename,delete_list
ios,show running-config,yes,no,,cisco_ios_show_running-config,cisco_ios_show_running-config_del_list
ios,show version,yes,yes,cisco_ios_show_version.textfsm,,cisco_ios_show_version_del_list
ios,show ip interface brief,yes,yes,cisco_ios_show_ip_interface_brief.textfsm,,cisco_ios_show_ip_interface_brief_del_list
ios,show boot,no,no,,cisco_ios_show_boot,cisco_ios_
iosxr,show running-config,yes,no,,cisco_ioxrs_show_running-config,cisco_iosxr_show_running-config_del_list
iosxr,show version,yes,yes,cisco_iosxr_show_version.textfsm,,cisco_iosxr_show_version_del_list
iosxr,show ip interface brief,yes,yes,cisco_iosxr_show_ip_interface_brief.textfsm,,cisco_iosxr_show_ip_interface_brief_del_list
iosxr,show boot,no,no,,cisco_iosxr_show_boot,
ios,show running-config,yes,no,,cisco_ios_show_running-config,cisco_ios_show_running-config_del_list
ios,show version,yes,yes,cisco_ios_show_version.textfsm,,cisco_ios_show_version_del_list
ios,show ip interface brief,yes,yes,cisco_ios_show_ip_interface_brief.textfsm,,cisco_ios_show_ip_interface_brief_del_list
ios,show boot,no,no,,cisco_ios_show_boot,
