PROTOCOL,TYPE,NETWORK,MASK,DISTANCE,METRIC,NEXTHOP_IP,NEXTHOP_IF
O,,172.16.101.0,24,110,41,172.16.252.1,GigabitEthernet4
O,,172.16.102.0,24,110,41,172.16.252.9,GigabitEthernet5
C,,172.16.252.0,30,,,,GigabitEthernet4
L,,172.16.252.2,32,,,,GigabitEthernet4
O,,172.16.252.4,30,110,2,172.16.252.18,GigabitEthernet6
C,,172.16.252.8,30,,,,GigabitEthernet5
L,,172.16.252.10,32,,,,GigabitEthernet5
O,,172.16.252.12,30,110,2,172.16.252.18,GigabitEthernet6
C,,172.16.252.16,30,,,,GigabitEthernet6
L,,172.16.252.17,32,,,,GigabitEthernet6
C,,172.16.252.20,30,,,,GigabitEthernet2
L,,172.16.252.21,32,,,,GigabitEthernet2
C,,172.16.252.24,30,,,,GigabitEthernet3
L,,172.16.252.25,32,,,,GigabitEthernet3
O,,172.16.252.28,30,110,2,172.16.252.22,GigabitEthernet2
O,,172.16.252.28,30,110,2,172.16.252.18,GigabitEthernet6
O,,172.16.252.32,30,110,2,172.16.252.26,GigabitEthernet3
O,,172.16.252.32,30,110,2,172.16.252.18,GigabitEthernet6
O,,172.16.252.36,30,110,2,172.16.252.26,GigabitEthernet3
O,,172.16.252.36,30,110,2,172.16.252.22,GigabitEthernet2
O,,172.16.253.0,29,110,2,172.16.252.26,GigabitEthernet3
O,,172.16.253.0,29,110,2,172.16.252.22,GigabitEthernet2
O,E2,172.31.0.0,16,110,20,172.16.252.26,GigabitEthernet3
O,E2,172.31.0.0,16,110,20,172.16.252.22,GigabitEthernet2
